Designator,Mid X,Mid Y,Layer,Rotation
C3,123.5075mm,-138.43mmmm,Top,-90
C4,118.745mm,-136.73mm,Top,-90
C5,114.935mm,-136.73mm,Top,-90
C7,81.915mm,-85.895mm,Top,90
C8,80.645mm,-117.01mm,Top,90
J1,81.915mm,-101.6mm,Top,90
J2,189.23mm,-101.6mm,Top,90
J7,166.37mm,-133.985mm,Top,180
J8,166.37mm,-136.525mm,Top,180
JM2K1,149.86mm,-141.605mm,Top,0
PP1,88.265mm,-87.63mm,Top,0
PP2,90.805mm,-87.63mm,Top,0
PP3,93.345mm,-87.63mm,Top,0
PP4,95.885mm,-87.63mm,Top,0
PP5,98.425mm,-87.63mm,Top,0
PP6,100.965mm,-87.63mm,Top,0
PP7,103.505mm,-87.63mm,Top,0
PP8,106.045mm,-87.63mm,Top,0
PP9,108.585mm,-87.63mm,Top,0
PP10,111.125mm,-87.63mm,Top,0
PP11,113.665mm,-87.63mm,Top,0
PP12,116.205mm,-87.63mm,Top,0
PP13,118.745mm,-87.63mm,Top,0
PP14,121.285mm,-87.63mm,Top,0
PP15,123.825mm,-87.63mm,Top,0
PP16,126.365mm,-87.63mm,Top,0
PP17,128.905mm,-87.63mm,Top,0
PP18,88.265mm,-115.57mm,Top,0
PP19,90.805mm,-115.57mm,Top,0
PP20,93.345mm,-115.57mm,Top,0
PP21,95.885mm,-115.57mm,Top,0
PP22,98.425mm,-115.57mm,Top,0
PP23,100.965mm,-115.57mm,Top,0
PP24,103.505mm,-115.57mm,Top,0
PP25,106.045mm,-115.57mm,Top,0
PP26,108.585mm,-115.57mm,Top,0
PP27,111.125mm,-115.57mm,Top,0
PP28,113.665mm,-115.57mm,Top,0
PP29,116.205mm,-115.57mm,Top,0
PP30,118.745mm,-115.57mm,Top,0
PP31,121.285mm,-115.57mm,Top,0
PP32,123.825mm,-115.57mm,Top,0
PP33,126.365mm,-115.57mm,Top,0
PP34,128.905mm,-115.57mm,Top,0
PP35,142.875mm,-87.63mm,Top,0
PP36,145.415mm,-87.63mm,Top,0
PP37,147.955mm,-87.63mm,Top,0
PP38,150.495mm,-87.63mm,Top,0
PP39,153.035mm,-87.63mm,Top,0
PP40,155.575mm,-87.63mm,Top,0
PP41,158.115mm,-87.63mm,Top,0
PP42,160.655mm,-87.63mm,Top,0
PP43,163.195mm,-87.63mm,Top,0
PP44,165.735mm,-87.63mm,Top,0
PP45,168.275mm,-87.63mm,Top,0
PP46,170.815mm,-87.63mm,Top,0
PP47,173.355mm,-87.63mm,Top,0
PP48,175.895mm,-87.63mm,Top,0
PP49,178.435mm,-87.63mm,Top,0
PP50,180.975mm,-87.63mm,Top,0
PP51,183.515mm,-87.63mm,Top,0
PP52,142.875mm,-115.57mm,Top,0
PP53,145.415mm,-115.57mm,Top,0
PP54,147.955mm,-115.57mm,Top,0
PP55,150.495mm,-115.57mm,Top,0
PP56,153.035mm,-115.57mm,Top,0
PP57,155.575mm,-115.57mm,Top,0
PP58,158.115mm,-115.57mm,Top,0
PP59,160.655mm,-115.57mm,Top,0
PP60,163.195mm,-115.57mm,Top,0
PP61,165.735mm,-115.57mm,Top,0
PP62,168.275mm,-115.57mm,Top,0
PP63,170.815mm,-115.57mm,Top,0
PP64,173.355mm,-115.57mm,Top,0
PP65,175.895mm,-115.57mm,Top,0
PP66,178.435mm,-115.57mm,Top,0
PP67,180.975mm,-115.57mm,Top,0
PP68,183.515mm,-115.57mm,Top,0
U1,100.3377mm,-101.612237mm,Top,0
U2,117.491025mm,-101.601679mm,Top,0
U3,154.332529mm,-101.620222mm,Top,0
U4,172.103258mm,-101.620222mm,Top,0
U5,135.87151mm,-101.631727mm,Top,0
