Designator,Mid X,Mid Y,Layer,Rotation
C1,130.175mm,-130.005mm,Top,90
C2,92.71mm,-135.89mm,Top,180
C3,89.535mm,-112.225mm,Top,90
C4,173.82mm,-142.24mm,Top,180
C5,99.695mm,-135.085mm,Top,-90
C6,189.23mm,-140.335mm,Top,180
C7,81.915mm,-61.13mm,Top,90
C8,81.915mm,-92.245mm,Top,90
DC1,85.09mm,-135.89mm,Top,90
J1,81.915mm,-76.835mm,Top,90
J2,189.23mm,-76.835mm,Top,90
J7,118.11mm,-111.76mm,Top,180
J8,118.11mm,-114.3mm,Top,180
PP1,88.265mm,-62.865mm,Top,0
PP2,90.805mm,-62.865mm,Top,0
PP3,93.345mm,-62.865mm,Top,0
PP4,95.885mm,-62.865mm,Top,0
PP5,98.425mm,-62.865mm,Top,0
PP6,100.965mm,-62.865mm,Top,0
PP7,103.505mm,-62.865mm,Top,0
PP8,106.045mm,-62.865mm,Top,0
PP9,108.585mm,-62.865mm,Top,0
PP10,111.125mm,-62.865mm,Top,0
PP11,113.665mm,-62.865mm,Top,0
PP12,116.205mm,-62.865mm,Top,0
PP13,118.745mm,-62.865mm,Top,0
PP14,121.285mm,-62.865mm,Top,0
PP15,123.825mm,-62.865mm,Top,0
PP16,126.365mm,-62.865mm,Top,0
PP17,128.905mm,-62.865mm,Top,0
PP18,88.265mm,-90.805mm,Top,0
PP19,90.805mm,-90.805mm,Top,0
PP20,93.345mm,-90.805mm,Top,0
PP21,95.885mm,-90.805mm,Top,0
PP22,98.425mm,-90.805mm,Top,0
PP23,100.965mm,-90.805mm,Top,0
PP24,103.505mm,-90.805mm,Top,0
PP25,106.045mm,-90.805mm,Top,0
PP26,108.585mm,-90.805mm,Top,0
PP27,111.125mm,-90.805mm,Top,0
PP28,113.665mm,-90.805mm,Top,0
PP29,116.205mm,-90.805mm,Top,0
PP30,118.745mm,-90.805mm,Top,0
PP31,121.285mm,-90.805mm,Top,0
PP32,123.825mm,-90.805mm,Top,0
PP33,126.365mm,-90.805mm,Top,0
PP34,128.905mm,-90.805mm,Top,0
PP35,142.875mm,-62.865mm,Top,0
PP36,145.415mm,-62.865mm,Top,0
PP37,147.955mm,-62.865mm,Top,0
PP38,150.495mm,-62.865mm,Top,0
PP39,153.035mm,-62.865mm,Top,0
PP40,155.575mm,-62.865mm,Top,0
PP41,158.115mm,-62.865mm,Top,0
PP42,160.655mm,-62.865mm,Top,0
PP43,163.195mm,-62.865mm,Top,0
PP44,165.735mm,-62.865mm,Top,0
PP45,168.275mm,-62.865mm,Top,0
PP46,170.815mm,-62.865mm,Top,0
PP47,173.355mm,-62.865mm,Top,0
PP48,175.895mm,-62.865mm,Top,0
PP49,178.435mm,-62.865mm,Top,0
PP50,180.975mm,-62.865mm,Top,0
PP51,183.515mm,-62.865mm,Top,0
PP52,142.875mm,-90.805mm,Top,0
PP53,145.415mm,-90.805mm,Top,0
PP54,147.955mm,-90.805mm,Top,0
PP55,150.495mm,-90.805mm,Top,0
PP56,153.035mm,-90.805mm,Top,0
PP57,155.575mm,-90.805mm,Top,0
PP58,158.115mm,-90.805mm,Top,0
PP59,160.655mm,-90.805mm,Top,0
PP60,163.195mm,-90.805mm,Top,0
PP61,165.735mm,-90.805mm,Top,0
PP62,168.275mm,-90.805mm,Top,0
PP63,170.815mm,-90.805mm,Top,0
PP64,173.355mm,-90.805mm,Top,0
PP65,175.895mm,-90.805mm,Top,0
PP66,178.435mm,-90.805mm,Top,0
PP67,180.975mm,-90.805mm,Top,0
PP68,183.515mm,-90.805mm,Top,0
R1,124.46mm,-137.16mm,Top,180
R2,132.715mm,-138.43mm,Top,180
R3,181.8025mm,-139.065mm,Top,180
R4,111.76mm,-121.4775mm,Top,90
R5,109.22mm,-121.4775mm,Top,90
R6,116.84mm,-121.4775mm,Top,90
R7,114.3mm,-121.4775mm,Top,90
R8,121.92mm,-121.4775mm,Top,90
R9,119.38mm,-121.4775mm,Top,90
R12,91.2475mm,-139.065mm,Top,0
RV1,138.415mm,-132.08mm,Top,0
U1,100.3377mm,-76.847237mm,Top,0
U2,117.491025mm,-76.836679mm,Top,0
U3,154.332529mm,-76.855222mm,Top,0
U4,172.103258mm,-76.855222mm,Top,0
U5,135.87151mm,-76.866727mm,Top,0
U9,175.895mm,-123.19mm,Top,180
U10,137.16mm,-118.71mm,Top,0
U11,113.665mm,-132.715mm,Top,0
