Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.47u","C_1206_3216Metric",130.175000,-130.005000,90.000000,top
"C2","10u","C_1206_3216Metric",92.710000,-135.890000,180.000000,top
"C3","0.47u","C_1206_3216Metric",89.535000,-112.225000,90.000000,top
"C4","0.47u","C_1206_3216Metric",173.820000,-142.240000,180.000000,top
"C5","0.47u","C_1206_3216Metric",99.695000,-135.085000,-90.000000,top
"C6","0.47u","C_1206_3216Metric",189.230000,-140.335000,180.000000,top
"C7","10u","C_1206_3216Metric",81.915000,-61.130000,90.000000,top
"C8","10u","C_1206_3216Metric",81.915000,-92.245000,90.000000,top
"DC1","RFM-0505S","RFM-0505S",85.090000,-135.890000,90.000000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",81.915000,-76.835000,90.000000,top
"J2","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",189.230000,-76.835000,90.000000,top
"J7","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",118.110000,-111.760000,180.000000,top
"J8","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Vertical",118.110000,-114.300000,180.000000,top
"PP1","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",88.265000,-62.865000,0.000000,top
"PP2","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",90.805000,-62.865000,0.000000,top
"PP3","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",93.345000,-62.865000,0.000000,top
"PP4","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",95.885000,-62.865000,0.000000,top
"PP5","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",98.425000,-62.865000,0.000000,top
"PP6","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",100.965000,-62.865000,0.000000,top
"PP7","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",103.505000,-62.865000,0.000000,top
"PP8","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",106.045000,-62.865000,0.000000,top
"PP9","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",108.585000,-62.865000,0.000000,top
"PP10","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",111.125000,-62.865000,0.000000,top
"PP11","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",113.665000,-62.865000,0.000000,top
"PP12","POGO_PIN_01X01_70-9150","MF_Connectors-POGO_PIN_70-9150",116.205000,-62.865000,0.000000,top
