"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8","0.22u","~","Capacitor_SMD:C_1808_4520Metric","8",""
"DC1","CME0505S3C","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"GND1,GND2,TP6,VCC1,VDD1,VEE1","TestPoint","~","-- mixed values --","6",""
"J1,J2,J7,J8","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","4",""
"J3,J4","Solderless_mini_2Rows-17Pins","~","Library:Solderless_mini_mount_holes_2x17_P2.54mm","2",""
"J5,J6","Solderless_power-4Pins","~","Library:Solderless_power_2x4_P2.54mm","2",""
"JP1","SolderJumper_3_Open","~","Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels","1",""
"JP3,JP4","SolderJumper_2_Open","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","2",""
"JpVDD1,JpVDD2,JpVDD3,JpVDD4,JpVDD5","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","5",""
"JVEE1","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"PMOD1","Conn_02x06_Top_Bottom","~","Library:PMOD_Header_2x06_P2.54mm","1",""
"PP1,PP2,PP3,PP4,PP5,PP6,PP7,PP8,PP9,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,PP19,PP20,PP21,PP22,PP23,PP24,PP25,PP26,PP27,PP28,PP29,PP30,PP31,PP32,PP33,PP34,PP35,PP36,PP37,PP38,PP39,PP40,PP41,PP42,PP43,PP44,PP45,PP46,PP47,PP48,PP49,PP50,PP51,PP52,PP53,PP54,PP55,PP56,PP57,PP58,PP59,PP60,PP61,PP62,PP63,PP64,PP65,PP66,PP67,PP68","POGO_PIN_01X01_70-9150","","MF_Connectors:MF_Connectors-POGO_PIN_70-9150","68",""
"R1,R2,R3","220","~","Resistor_SMD:R_1206_3216Metric","3",""
"R4,R6,R8","330k","~","Resistor_SMD:R_1206_3216Metric","3",""
"R5,R7,R9","680k","~","Resistor_SMD:R_1206_3216Metric","3",""
"R10","33k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R11","68k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R12","510","~","Resistor_SMD:R_1206_3216Metric","1",""
"RV1","10k","~","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","1",""
"U1,U2,U3,U4,U5","~","","JumperlessFootprints:LQFP44_Tight","5",""
"U9","Pico","","MCU_RaspberryPi_and_Boards:_SMD_TH","1",""
"U10","MCP4822","http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1",""
"U11","MCP6004","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf","Package_SO:SO-14_3.9x8.65mm_P1.27mm","1",""
