Ref,Mid X,Mid Y,Layer,Rotation
C1,130.81mm,-71.755mm,top,-90
C2,147.32mm,-93.55mm,top,90
C3,149.86mm,-70.485mm,top,90
R1,168.91mm,-76.0075mm,top,90
R2,166.37mm,-76.0075mm,top,90
R3,161.29mm,-76.0075mm,top,90
R4,163.83mm,-76.0075mm,top,90
R5,124.46mm,-86.36mm,top,90
R6,127.635mm,-86.36mm,top,90
R7,118.11mm,-86.36mm,top,90
R8,121.285mm,-86.36mm,top,90
R9,123.19mm,-103.6975mm,top,-90
R10,120.015mm,-103.6975mm,top,-90
R11,130.175mm,-103.6975mm,top,-90
R12,127mm,-103.6975mm,top,-90
R13,133.985mm,-71.755mm,top,-90
R14,139.7mm,-90.17mm,top,0
R15,137.6025mm,-85.725mm,top,0
R16,139.7mm,-93.345mm,top,180
R17,137.6025mm,-82.55mm,top,180
R18,134.585mm,-104.5825mm,top,90
R19,147.285mm,-104.5825mm,top,90
R20,134.585mm,-99.5025mm,top,90
R21,147.285mm,-99.5025mm,top,90
R22,127.635mm,-77.47mm,top,-90
R23,127.635mm,-71.755mm,top,90
U2,122.555mm,-95.3775mm,top,180
U3,144.78mm,-86.36mm,top,90
U4,140.935mm,-104.14mm,top,90
