"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3","3","10uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"DC1","1","RFM-0505S","","","","Library:RFM-0505S","https://power.murata.com/pub/data/power/ncl/kdc_mee3.pdf"
"J1","1","Conn_02x15_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Horizontal","~"
"R1,R2,R3,R4","4","220","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5,R7,R9,R11","4","680k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6,R8,R10,R12","4","330k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R13","1","470","","","","Resistor_SMD:R_1206_3216Metric","~"
"R14,R15","2","3.9k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R16,R17","2","33k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R18,R19","2","24k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R20,R21","2","20k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R22","1","120","","","","Resistor_SMD:R_1206_3216Metric","~"
"R23","1","390","","","","Resistor_SMD:R_1206_3216Metric","~"
"RV1","1","5k","","","","Library:Potentiometer_Bourns_3386P_Vertical","~"
"U1","1","Pico-mini-zero","","","","MCU_RaspberryPi_and_Boards:RPi_Mini_Zero_SMD_TH",""
"U2","1","MCP6004","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"U3","1","MCP4822","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf"
"U4","1","MCP6002-xSN","","","","Package_SO:SO-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
